work_order_number,dwr_name,technician,tech_subsidiary,job_stop_date,milestone,dummy_unit,on_site_hours,scope_of_work_performed
WO-35000003,DWR-11000047,PSG Technician 34,Pearce Services Global,2026-03-29,Fielding,Field QC,0.46,Synthetic field package reviewed.
WO-35000003,DWR-11000048,PSG Technician 25,Pearce Services Global,2026-03-29,OCALC,Pole loading,1.59,Synthetic pole-loading extraction and submission.
WO-35000003,DWR-11000049,PSG Technician 35,Pearce Services Global,2026-03-30,Design,Design,6.91,Synthetic design production and record correction.
WO-35000003,DWR-11000050,PSG Technician 30,Pearce Services Global,2026-03-30,Design,Design,2.29,Synthetic design production and record correction.
WO-35000003,DWR-11000051,PSG Technician 08,Pearce Services Global,2026-04-01,Design,Design,6.03,Synthetic design production and record correction.
WO-35000003,DWR-11000052,PSG Technician 38,Pearce Services Global,2026-04-01,Design,Design QC,2.99,Synthetic design quality-control review completed.
WO-35000003,DWR-11000053,PSG Technician 37,Pearce Services Global,2026-04-02,Final Delivery,Final Delivery,0.75,Synthetic final package review and delivery.
WO-35000003,DWR-11000054,PSG Technician 02,Pearce Services Global,2026-04-02,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000003,DWR-11000055,PSG Technician 10,Pearce Services Global,2026-04-02,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000003,DWR-11000056,PSG Technician 12,Pearce Services Global,2026-04-02,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000004,DWR-11000057,PSG Technician 21,Pearce Services Global,2025-02-12,Intake,Intake,0.66,Synthetic WO and project folder created.
WO-35000004,DWR-11000058,PSG Technician 24,Pearce Services Global,2025-02-13,Pre-field,Pre-field,2.08,Synthetic scoping and site-map preparation completed.
WO-35000004,DWR-11000059,US Field Technician 03,Pearce Services,2025-02-15,Fielding,Field Travel,1.52,Synthetic travel to and from the work site.
WO-35000004,DWR-11000060,US Field Technician 03,Pearce Services,2025-02-15,Fielding,Site Visit,1.6,Synthetic site visit and local-contact coordination.
WO-35000004,DWR-11000061,US Field Technician 03,Pearce Services,2025-02-15,Fielding,Fielding,0.62,Synthetic aerial/buried field measurements captured.
WO-35000004,DWR-11000062,PSG Technician 10,Pearce Services Global,2025-02-19,Fielding,Field QC,0.47,Synthetic field package reviewed.
WO-35000004,DWR-11000063,PSG Technician 05,Pearce Services Global,2025-02-19,OCALC,Pole loading,0.56,Synthetic pole-loading extraction and submission.
WO-35000004,DWR-11000064,PSG Technician 03,Pearce Services Global,2025-02-21,Design,Design,1.86,Synthetic design production and record correction.
WO-35000004,DWR-11000065,PSG Technician 33,Pearce Services Global,2025-02-21,Design,Design,7.04,Synthetic design production and record correction.
WO-35000004,DWR-11000066,PSG Technician 37,Pearce Services Global,2025-02-22,Design,Design,5.05,Synthetic design production and record correction.
WO-35000004,DWR-11000067,PSG Technician 13,Pearce Services Global,2025-02-24,Design,Design QC,3.4,Synthetic design quality-control review completed.
WO-35000004,DWR-11000068,PSG Technician 31,Pearce Services Global,2025-02-25,Permitting,Unscaled Permit,3.44,Synthetic permit preparation or submission activity.
WO-35000004,DWR-11000069,PSG Technician 02,Pearce Services Global,2025-02-25,Permitting,Quality Control - Permit,1.14,Synthetic permit preparation or submission activity.
WO-35000004,DWR-11000070,PSG Technician 11,Pearce Services Global,2025-02-27,Final Delivery,Final Delivery,0.77,Synthetic final package review and delivery.
WO-35000004,DWR-11000071,PSG Technician 29,Pearce Services Global,2025-02-27,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000004,DWR-11000072,PSG Technician 19,Pearce Services Global,2025-02-27,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000004,DWR-11000073,PSG Technician 10,Pearce Services Global,2025-02-27,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000005,DWR-11000074,PSG Technician 18,Pearce Services Global,2025-06-09,Intake,Intake,0.7,Synthetic WO and project folder created.
WO-35000005,DWR-11000075,PSG Technician 22,Pearce Services Global,2025-06-11,Pre-field,Pre-field,2.99,Synthetic scoping and site-map preparation completed.
WO-35000005,DWR-11000076,US Field Technician 12,Pearce Services,2025-06-12,Fielding,Field Travel,1.17,Synthetic travel to and from the work site.
WO-35000005,DWR-11000077,US Field Technician 12,Pearce Services,2025-06-12,Fielding,Site Visit,2.16,Synthetic site visit and local-contact coordination.
WO-35000005,DWR-11000078,US Field Technician 12,Pearce Services,2025-06-12,Fielding,Fielding,1.28,Synthetic aerial/buried field measurements captured.
WO-35000005,DWR-11000079,PSG Technician 39,Pearce Services Global,2025-06-13,Fielding,Field QC,0.37,Synthetic field package reviewed.
WO-35000005,DWR-11000080,PSG Technician 09,Pearce Services Global,2025-06-13,OCALC,Pole loading,1.03,Synthetic pole-loading extraction and submission.
WO-35000005,DWR-11000081,PSG Technician 27,Pearce Services Global,2025-06-16,Design,Design,7.35,Synthetic design production and record correction.
WO-35000005,DWR-11000082,PSG Technician 28,Pearce Services Global,2025-06-16,Design,Design,3.51,Synthetic design production and record correction.
WO-35000005,DWR-11000083,PSG Technician 26,Pearce Services Global,2025-06-18,Design,Design,4.56,Synthetic design production and record correction.
WO-35000005,DWR-11000084,PSG Technician 33,Pearce Services Global,2025-06-20,Design,Design QC,2.79,Synthetic design quality-control review completed.
WO-35000005,DWR-11000085,PSG Technician 39,Pearce Services Global,2025-06-23,Final Delivery,Final Delivery,0.67,Synthetic final package review and delivery.
WO-35000005,DWR-11000086,PSG Technician 32,Pearce Services Global,2025-06-23,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000005,DWR-11000087,PSG Technician 25,Pearce Services Global,2025-06-23,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000006,DWR-11000088,PSG Technician 10,Pearce Services Global,2025-05-18,Intake,Intake,0.32,Synthetic WO and project folder created.
WO-35000006,DWR-11000089,PSG Technician 03,Pearce Services Global,2025-05-18,Pre-field,Pre-field,3.2,Synthetic scoping and site-map preparation completed.
WO-35000006,DWR-11000090,US Field Technician 01,Pearce Services,2025-05-20,Fielding,Field Travel,1.94,Synthetic travel to and from the work site.
WO-35000006,DWR-11000091,US Field Technician 01,Pearce Services,2025-05-20,Fielding,Site Visit,2.0,Synthetic site visit and local-contact coordination.
WO-35000006,DWR-11000092,US Field Technician 01,Pearce Services,2025-05-20,Fielding,Fielding,0.5,Synthetic aerial/buried field measurements captured.
WO-35000006,DWR-11000093,PSG Technician 22,Pearce Services Global,2025-05-22,Fielding,Field QC,0.67,Synthetic field package reviewed.
WO-35000006,DWR-11000094,PSG Technician 06,Pearce Services Global,2025-05-22,OCALC,Pole loading,2.15,Synthetic pole-loading extraction and submission.
WO-35000006,DWR-11000095,PSG Technician 35,Pearce Services Global,2025-05-24,Design,Design,3.88,Synthetic design production and record correction.
WO-35000006,DWR-11000096,PSG Technician 07,Pearce Services Global,2025-05-25,Design,Design,2.9,Synthetic design production and record correction.
WO-35000006,DWR-11000097,PSG Technician 15,Pearce Services Global,2025-05-27,Design,Design,5.11,Synthetic design production and record correction.
WO-35000006,DWR-11000098,PSG Technician 33,Pearce Services Global,2025-05-28,Design,Design QC,1.73,Synthetic design quality-control review completed.
WO-35000006,DWR-11000099,PSG Technician 30,Pearce Services Global,2025-05-29,Permitting,Unscaled Permit,1.81,Synthetic permit preparation or submission activity.
WO-35000006,DWR-11000100,PSG Technician 34,Pearce Services Global,2025-05-29,Permitting,Quality Control - Permit,0.74,Synthetic permit preparation or submission activity.
WO-35000006,DWR-11000101,PSG Technician 16,Pearce Services Global,2025-05-30,Final Delivery,Final Delivery,0.67,Synthetic final package review and delivery.
WO-35000006,DWR-11000102,PSG Technician 39,Pearce Services Global,2025-05-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000006,DWR-11000103,PSG Technician 36,Pearce Services Global,2025-05-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000006,DWR-11000104,PSG Technician 16,Pearce Services Global,2025-05-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000007,DWR-11000105,PSG Technician 27,Pearce Services Global,2025-10-24,Intake,Intake,0.49,Synthetic WO and project folder created.
WO-35000007,DWR-11000106,PSG Technician 17,Pearce Services Global,2025-10-25,Pre-field,Pre-field,1.35,Synthetic scoping and site-map preparation completed.
WO-35000007,DWR-11000107,US Field Technician 14,Pearce Services,2025-10-31,Fielding,Field Travel,0.25,Synthetic travel to and from the work site.
WO-35000007,DWR-11000108,US Field Technician 14,Pearce Services,2025-10-31,Fielding,Site Visit,1.52,Synthetic site visit and local-contact coordination.
WO-35000007,DWR-11000109,US Field Technician 14,Pearce Services,2025-10-31,Fielding,Fielding,1.84,Synthetic aerial/buried field measurements captured.
WO-35000007,DWR-11000110,PSG Technician 23,Pearce Services Global,2025-11-01,Fielding,Field QC,0.45,Synthetic field package reviewed.
WO-35000007,DWR-11000111,PSG Technician 16,Pearce Services Global,2025-11-01,OCALC,Pole loading,2.05,Synthetic pole-loading extraction and submission.
WO-35000007,DWR-11000112,PSG Technician 39,Pearce Services Global,2025-11-04,Design,Design,6.99,Synthetic design production and record correction.
WO-35000007,DWR-11000113,PSG Technician 11,Pearce Services Global,2025-11-06,Design,Design,8.14,Synthetic design production and record correction.
WO-35000007,DWR-11000114,PSG Technician 34,Pearce Services Global,2025-11-08,Design,Design,4.85,Synthetic design production and record correction.
WO-35000007,DWR-11000115,PSG Technician 05,Pearce Services Global,2025-11-08,Design,Design QC,2.43,Synthetic design quality-control review completed.
WO-35000007,DWR-11000116,PSG Technician 24,Pearce Services Global,2025-11-09,Permitting,Permit Admin,2.3,Synthetic permit preparation or submission activity.
WO-35000007,DWR-11000117,PSG Technician 03,Pearce Services Global,2025-11-09,Permitting,Unscaled Permit,2.67,Synthetic permit preparation or submission activity.
WO-35000007,DWR-11000118,PSG Technician 16,Pearce Services Global,2025-11-13,Final Delivery,Final Delivery,1.2,Synthetic final package review and delivery.
WO-35000007,DWR-11000119,PSG Technician 05,Pearce Services Global,2025-11-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000007,DWR-11000120,PSG Technician 03,Pearce Services Global,2025-11-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000007,DWR-11000121,PSG Technician 31,Pearce Services Global,2025-11-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000008,DWR-11000122,PSG Technician 02,Pearce Services Global,2026-04-06,Intake,Intake,0.54,Synthetic WO and project folder created.
WO-35000008,DWR-11000123,PSG Technician 06,Pearce Services Global,2026-04-08,Pre-field,Pre-field,1.8,Synthetic scoping and site-map preparation completed.
WO-35000008,DWR-11000124,US Field Technician 20,Pearce Services,2026-04-13,Fielding,Field Travel,1.98,Synthetic travel to and from the work site.
WO-35000008,DWR-11000125,US Field Technician 20,Pearce Services,2026-04-13,Fielding,Site Visit,1.28,Synthetic site visit and local-contact coordination.
WO-35000008,DWR-11000126,US Field Technician 20,Pearce Services,2026-04-13,Fielding,Fielding,1.7,Synthetic aerial/buried field measurements captured.
WO-35000008,DWR-11000127,PSG Technician 26,Pearce Services Global,2026-04-15,Fielding,Field QC,0.66,Synthetic field package reviewed.
WO-35000008,DWR-11000128,PSG Technician 11,Pearce Services Global,2026-04-16,Design,Design,4.31,Synthetic design production and record correction.
WO-35000008,DWR-11000129,PSG Technician 05,Pearce Services Global,2026-04-16,Design,Design,7.52,Synthetic design production and record correction.
WO-35000008,DWR-11000130,PSG Technician 20,Pearce Services Global,2026-04-16,Design,Design,1.85,Synthetic design production and record correction.
WO-35000008,DWR-11000131,PSG Technician 34,Pearce Services Global,2026-04-18,Design,Design QC,2.26,Synthetic design quality-control review completed.
WO-35000008,DWR-11000132,PSG Technician 28,Pearce Services Global,2026-04-20,Final Delivery,Final Delivery,0.95,Synthetic final package review and delivery.
WO-35000008,DWR-11000133,PSG Technician 28,Pearce Services Global,2026-04-20,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000008,DWR-11000134,PSG Technician 08,Pearce Services Global,2026-04-20,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000009,DWR-11000135,PSG Technician 02,Pearce Services Global,2025-01-14,Intake,Intake,0.71,Synthetic WO and project folder created.
WO-35000009,DWR-11000136,PSG Technician 13,Pearce Services Global,2025-01-16,Pre-field,Pre-field,2.92,Synthetic scoping and site-map preparation completed.
WO-35000009,DWR-11000137,US Field Technician 06,Pearce Services,2025-01-20,Fielding,Field Travel,6.46,Synthetic travel to and from the work site.
WO-35000009,DWR-11000138,US Field Technician 06,Pearce Services,2025-01-20,Fielding,Site Visit,0.81,Synthetic site visit and local-contact coordination.
WO-35000009,DWR-11000139,US Field Technician 06,Pearce Services,2025-01-20,Fielding,Fielding,2.15,Synthetic aerial/buried field measurements captured.
WO-35000009,DWR-11000140,PSG Technician 17,Pearce Services Global,2025-01-21,Fielding,Field QC,0.22,Synthetic field package reviewed.
WO-35000009,DWR-11000141,PSG Technician 30,Pearce Services Global,2025-01-21,OCALC,Pole loading,0.97,Synthetic pole-loading extraction and submission.
WO-35000009,DWR-11000142,PSG Technician 01,Pearce Services Global,2025-01-24,Design,Design,3.26,Synthetic design production and record correction.
WO-35000009,DWR-11000143,PSG Technician 26,Pearce Services Global,2025-01-24,Design,Design,4.51,Synthetic design production and record correction.
WO-35000009,DWR-11000144,PSG Technician 31,Pearce Services Global,2025-01-24,Design,Design,5.71,Synthetic design production and record correction.
WO-35000009,DWR-11000145,PSG Technician 17,Pearce Services Global,2025-01-26,Design,Design QC,2.62,Synthetic design quality-control review completed.
WO-35000009,DWR-11000146,PSG Technician 21,Pearce Services Global,2025-01-27,Permitting,Permit Admin,1.08,Synthetic permit preparation or submission activity.
WO-35000009,DWR-11000147,PSG Technician 25,Pearce Services Global,2025-01-27,Permitting,Unscaled Permit,1.16,Synthetic permit preparation or submission activity.
WO-35000009,DWR-11000148,PSG Technician 31,Pearce Services Global,2025-01-27,Permitting,Quality Control - Permit,0.89,Synthetic permit preparation or submission activity.
WO-35000009,DWR-11000149,PSG Technician 08,Pearce Services Global,2025-01-30,Final Delivery,Final Delivery,0.96,Synthetic final package review and delivery.
WO-35000009,DWR-11000150,PSG Technician 39,Pearce Services Global,2025-01-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000009,DWR-11000151,PSG Technician 27,Pearce Services Global,2025-01-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000009,DWR-11000152,PSG Technician 10,Pearce Services Global,2025-01-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000010,DWR-11000153,PSG Technician 33,Pearce Services Global,2025-08-09,Intake,Intake,0.59,Synthetic WO and project folder created.
WO-35000010,DWR-11000154,PSG Technician 06,Pearce Services Global,2025-08-10,Pre-field,Pre-field,1.12,Synthetic scoping and site-map preparation completed.
WO-35000010,DWR-11000155,US Field Technician 12,Pearce Services,2025-08-12,Fielding,Field Travel,0.47,Synthetic travel to and from the work site.
WO-35000010,DWR-11000156,US Field Technician 12,Pearce Services,2025-08-12,Fielding,Site Visit,2.4,Synthetic site visit and local-contact coordination.
WO-35000010,DWR-11000157,US Field Technician 12,Pearce Services,2025-08-12,Fielding,Fielding,1.32,Synthetic aerial/buried field measurements captured.
WO-35000010,DWR-11000158,PSG Technician 07,Pearce Services Global,2025-08-13,Fielding,Field QC,0.46,Synthetic field package reviewed.
WO-35000010,DWR-11000159,PSG Technician 17,Pearce Services Global,2025-08-16,Design,Design,6.22,Synthetic design production and record correction.
WO-35000010,DWR-11000160,PSG Technician 20,Pearce Services Global,2025-08-17,Design,Design,2.75,Synthetic design production and record correction.
WO-35000010,DWR-11000161,PSG Technician 30,Pearce Services Global,2025-08-17,Design,Design,1.72,Synthetic design production and record correction.
WO-35000010,DWR-11000162,PSG Technician 24,Pearce Services Global,2025-08-18,Design,Design QC,1.82,Synthetic design quality-control review completed.
WO-35000010,DWR-11000163,PSG Technician 18,Pearce Services Global,2025-08-21,Permitting,Unscaled Permit,2.76,Synthetic permit preparation or submission activity.
WO-35000010,DWR-11000164,PSG Technician 29,Pearce Services Global,2025-08-21,Permitting,Quality Control - Permit,0.83,Synthetic permit preparation or submission activity.
WO-35000010,DWR-11000165,PSG Technician 29,Pearce Services Global,2025-08-25,Final Delivery,Final Delivery,1.27,Synthetic final package review and delivery.
WO-35000010,DWR-11000166,PSG Technician 23,Pearce Services Global,2025-08-25,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000010,DWR-11000167,PSG Technician 15,Pearce Services Global,2025-08-25,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000011,DWR-11000168,PSG Technician 22,Pearce Services Global,2025-12-20,Intake,Intake,0.68,Synthetic WO and project folder created.
WO-35000011,DWR-11000169,PSG Technician 02,Pearce Services Global,2025-12-21,Pre-field,Pre-field,3.4,Synthetic scoping and site-map preparation completed.
WO-35000011,DWR-11000170,US Field Technician 11,Pearce Services,2025-12-23,Fielding,Field Travel,2.75,Synthetic travel to and from the work site.
WO-35000011,DWR-11000171,US Field Technician 11,Pearce Services,2025-12-23,Fielding,Site Visit,2.41,Synthetic site visit and local-contact coordination.
WO-35000011,DWR-11000172,US Field Technician 11,Pearce Services,2025-12-23,Fielding,Fielding,2.62,Synthetic aerial/buried field measurements captured.
WO-35000011,DWR-11000173,PSG Technician 38,Pearce Services Global,2025-12-26,Fielding,Field QC,0.68,Synthetic field package reviewed.
WO-35000011,DWR-11000174,PSG Technician 25,Pearce Services Global,2025-12-26,OCALC,Pole loading,0.78,Synthetic pole-loading extraction and submission.
WO-35000011,DWR-11000175,PSG Technician 22,Pearce Services Global,2025-12-28,Design,Design,2.07,Synthetic design production and record correction.
WO-35000011,DWR-11000176,PSG Technician 06,Pearce Services Global,2025-12-29,Design,Design QC,3.47,Synthetic design quality-control review completed.
WO-35000011,DWR-11000177,PSG Technician 10,Pearce Services Global,2025-12-29,Design,Rework - Design,6.67,Synthetic customer or QC corrections implemented.
WO-35000011,DWR-11000178,PSG Technician 35,Pearce Services Global,2025-12-30,Final Delivery,Final Delivery,1.48,Synthetic final package review and delivery.
WO-35000011,DWR-11000179,PSG Technician 19,Pearce Services Global,2025-12-30,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000012,DWR-11000180,PSG Technician 33,Pearce Services Global,2025-03-19,Intake,Intake,0.43,Synthetic WO and project folder created.
WO-35000012,DWR-11000181,PSG Technician 19,Pearce Services Global,2025-03-20,Pre-field,Pre-field,0.88,Synthetic scoping and site-map preparation completed.
WO-35000012,DWR-11000182,US Field Technician 03,Pearce Services,2025-03-27,Fielding,Field Travel,1.53,Synthetic travel to and from the work site.
WO-35000012,DWR-11000183,US Field Technician 03,Pearce Services,2025-03-27,Fielding,Site Visit,1.18,Synthetic site visit and local-contact coordination.
WO-35000012,DWR-11000184,US Field Technician 03,Pearce Services,2025-03-27,Fielding,Fielding,1.78,Synthetic aerial/buried field measurements captured.
WO-35000012,DWR-11000185,PSG Technician 34,Pearce Services Global,2025-03-30,Fielding,Field QC,0.72,Synthetic field package reviewed.
WO-35000012,DWR-11000186,PSG Technician 40,Pearce Services Global,2025-03-30,OCALC,Pole loading,0.89,Synthetic pole-loading extraction and submission.
WO-35000012,DWR-11000187,PSG Technician 28,Pearce Services Global,2025-04-02,Design,Design,5.56,Synthetic design production and record correction.
WO-35000012,DWR-11000188,PSG Technician 36,Pearce Services Global,2025-04-04,Design,Design,7.48,Synthetic design production and record correction.
WO-35000012,DWR-11000189,PSG Technician 20,Pearce Services Global,2025-04-05,Design,Design QC,3.39,Synthetic design quality-control review completed.
WO-35000012,DWR-11000190,PSG Technician 07,Pearce Services Global,2025-04-06,Permitting,Permit Admin,2.07,Synthetic permit preparation or submission activity.
WO-35000012,DWR-11000191,PSG Technician 15,Pearce Services Global,2025-04-06,Permitting,Unscaled Permit,2.35,Synthetic permit preparation or submission activity.
WO-35000012,DWR-11000192,PSG Technician 07,Pearce Services Global,2025-04-10,Final Delivery,Final Delivery,1.06,Synthetic final package review and delivery.
WO-35000012,DWR-11000193,PSG Technician 35,Pearce Services Global,2025-04-10,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000012,DWR-11000194,PSG Technician 27,Pearce Services Global,2025-04-10,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000012,DWR-11000195,PSG Technician 32,Pearce Services Global,2025-04-10,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000013,DWR-11000196,PSG Technician 28,Pearce Services Global,2025-04-17,Intake,Intake,0.49,Synthetic WO and project folder created.
WO-35000013,DWR-11000197,PSG Technician 32,Pearce Services Global,2025-04-17,Pre-field,Pre-field,3.06,Synthetic scoping and site-map preparation completed.
WO-35000013,DWR-11000198,US Field Technician 12,Pearce Services,2025-04-19,Fielding,Field Travel,1.48,Synthetic travel to and from the work site.
